,Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,-log10(pValue)
0,R-HSA-8851708,Signaling by FGFR2 IIIa TM,5,24,0.0015849953770968,0.0595019729956948,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,FGFR2,,R-HSA-8851710;R-HSA-8853320,1.2254686334825966
1,R-HSA-5654699,SHC-mediated cascade:FGFR2,6,33,0.0021793686435081,0.0695972975293158,0.9582515491555914,4,4,0.0002871088142405972,9606,Homo sapiens,KRAS;FGFR2,,R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402,1.1574076237643256
2,R-HSA-2023837,Signaling by FGFR2 amplification mutants,2,5,0.0003302073702285035,0.0703735893687537,0.9582515491555914,4,4,0.0002871088142405972,9606,Homo sapiens,FGFR2,,R-HSA-2029992;R-HSA-2029988;R-HSA-2029989;R-HSA-2067713,1.1525902974408642
3,R-HSA-5654700,FRS-mediated FGFR2 signaling,6,34,0.0022454101175538,0.0776927705103628,0.9582515491555914,9,9,0.0006459948320413437,9606,Homo sapiens,KRAS;FGFR2,,R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654605;R-HSA-5654397;R-HSA-5654618;R-HSA-5654603,1.1096193914118435
4,R-RNO-9020558,Interleukin-2 signaling,2,4,0.0003857652618381714,0.0916848537548307,0.9907144498866054,3,4,0.000506393214330928,10116,Rattus norvegicus,PTK2B;JAK1,,R-RNO-508513;R-RNO-508451;R-RNO-451900,1.0377024034139748
5,R-CFA-9020558,Interleukin-2 signaling,2,4,0.00041156497582055766,0.1021410931399416,0.9928297628453584,3,4,0.0005398839249561345,9615,Canis familiaris,PTK2B;JAK1,,R-CFA-508513;R-CFA-451900;R-CFA-508451,0.9907994985256701
6,R-HSA-2179392,EGFR Transactivation by Gastrin,3,13,0.0008585391625941091,0.1043513830396434,0.9582515491555914,3,6,0.0004306632213608958,9606,Homo sapiens,KRAS;EGFR,,R-HSA-2179415;R-HSA-2179387;R-HSA-2179407,0.9815017905611052
7,R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,4,21,0.0013868709549597,0.1110641752992573,0.9582515491555914,5,18,0.0012919896640826,9606,Homo sapiens,ESR1;EGFR,,R-HSA-8937369;R-HSA-8874789;R-HSA-8874797;R-HSA-8864381;R-HSA-8864395,0.9544260038749512
8,R-MMU-190704,Oligomerization of connexins into connexons,1,1,9.271277582050809e-05,0.1142908449932986,0.9874282648238504,1,1,0.000122040517451794,10090,Mus musculus,GJB1,,R-MMU-190681,0.941988556377517
9,R-BTA-190704,Oligomerization of connexins into connexons,1,1,9.579461634256155e-05,0.1178570482252837,0.9917786650805974,1,1,0.00012615112905260502,9913,Bos taurus,GJB1,,R-BTA-190681,0.9286444401755745
10,R-RNO-190704,Oligomerization of connexins into connexons,1,1,9.644131545954288e-05,0.1186035636786011,0.9907144498866054,1,1,0.000126598303582732,10116,Rattus norvegicus,GJB1,,R-RNO-190681,0.925902261539211
11,R-SSC-190704,Oligomerization of connexins into connexons,1,1,0.00010002000400080016,0.1227232160727868,0.9921970602113253,1,1,0.00013338668800853674,9823,Sus scrofa,GJB1,,R-SSC-190681,0.9110732721665793
12,R-CFA-190704,Oligomerization of connexins into connexons,1,1,0.00010289124395513942,0.1260145645825738,0.9928297628453584,1,1,0.00013497098123903362,9615,Canis familiaris,GJB1,,R-CFA-190681,0.8995792568483628
